name	userid	followers	followees	bio	time
brycecanyonnps	1676679171	45989	409	#BryceCanyonNPS #discoverBryce	2019-06-14 12:38:06.191184
canyonlandsnps	2930922474	78282	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-14 12:38:07.565036
capitolreefnps	4813894759	50625	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-14 12:38:10.621994
carlsbadcavernsnps	6267424760	44134	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-14 12:38:12.491097
channelislandsnps	3228076453	24858	128	Official Instagram for Channel Islands National Park.	2019-06-14 12:38:13.248126
congareenps	264028197	11267	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-14 12:38:17.274155
craterlakenps	1991254373	13	0		2019-06-14 12:38:18.847523
cuyahogavalleynps	1989853670	52528	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-14 12:38:21.575036
deathvalleynps	2242696112	198770	133	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-14 12:38:21.957951
denalinps	2129963644	209208	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-14 12:38:22.599054
drytortugasnps	1636957301	51443	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-14 12:38:26.004835
evergladesnps	1130671543	47994	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-14 12:38:28.128678
gatewayarchnps	509351161	2904	505	Official Instagram account for Gateway Arch National Park in St. Louis, Missouri, home of the Gateway Arch and historic Old Courthouse. #gatewayarch	2019-06-14 12:38:31.711957
glaciernps	394363369	698745	241	"Plan your trip responsibly. Check out our webpage for more info!
🏔"	2019-06-14 12:38:33.659298
glacierbaynps	3440243649	40684	138	Welcome to the official Instagram account for Glacier Bay National Park and Preserve. Tag #GlacierBay to share your experiences.	2019-06-14 12:38:35.399538
grandcanyonnps	354926024	547674	48	Official Instagram site for Grand Canyon Nat. Park. Photos posted are US Govt work, unless stated otherwise & photog cited. @GrandCanyonNPS on Twitter	2019-06-14 12:38:38.268985
grandtetonnps	1586622205	404316	125	This is the official Instagram for Grand Teton National Park. Use #mygrandteton for a chance to be featured.	2019-06-14 12:38:38.984637
greatbasinnps	511065143	1487	0		2019-06-14 12:38:40.974992
greatsanddunesnps	3021402145	15809	174	The official Instagram for Great Sand Dunes National Park and Preserve.	2019-06-14 12:38:41.488476
guadalupemountainsnps	1271874892	64824	267	"Official account for Guadalupe Mountains NP, home to the most extensive exposed fossil reef on Earth & the highest peak in Texas.
#guadalupemountains"	2019-06-14 12:38:42.669826
haleakalanps	3501917180	23667	317	The official Instagram for Haleakalā National Park.	2019-06-14 12:38:44.718091
hawaiivolcanoesnps	1692328803	146722	597	Official Instagram site of Hawaiʻi Volcanoes National Park. #HVNPWelcomeBack #HawaiiVolcanoes #NationalPark @Volcanoes_NPS on Twitter	2019-06-14 12:38:46.522259
hotspringsnps	3045142398	2696	221	The official Instagram account of Hot Springs National Park.	2019-06-14 12:38:48.826697
indianadunesnps	2111944124	8059	184	The official Instagram of Indiana Dunes National Park. #IndianaDunesNPS	2019-06-14 12:38:49.336652
isleroyalenps	2304944165	26981	292	Use #isleroyalenps for a chance to be featured! Official Instagram profile of Isle Royale National Park, a remote archipelago in Lake Superior.	2019-06-14 12:38:50.876918
joshuatreenps	1626724300	305139	327	Official Instagram of Joshua Tree National Park. We like photography, the desert and keeping Joshua Tree wild!	2019-06-14 12:38:51.482173
katmainps	2211589873	35830	72	Share your photos of Katmai National Park and Preserve. Tag @katmainps	2019-06-14 12:38:52.205159
kenaifjordsnps	2029803905	44706	274	The official Instagram of Kenai Fjords National Park. Tag #myKenaiFjords to share your experiences.	2019-06-14 12:38:57.543615
kobukvalleynps	5719167751	2152	226	The official account for Kobuk Valley National Park in Alaska. Tag your photos with #KobukValleyNPS for a chance to be featured.	2019-06-14 12:38:58.267619
lakeclarknps	1676030157	60847	256	This is the official account for Lake Clark National Park & Preserve in Alaska.	2019-06-14 12:38:59.164226
lassennps	2882029013	18601	41	"🔵 hundreds of glacially-carved lakes
♨️ bubbling pools of acid
🌋 ALL FOUR types of volcanoes
🌌✨—and a beautiful, glittering dark night sky"	2019-06-14 12:38:59.704971
mesaverdenps	5622637824	9004	138	Mesa Verde NP contains nearly 5,000 archeological sites constructed by the Ancestral Pueblo people over 700 years ago. Share your #MesaVerdeMemories!	2019-06-14 12:39:01.920393
mountrainiernps	2283825324	206421	169	This is the official Mount Rainier National Park Instagram. Tag #mountrainiernps to be featured on our page!	2019-06-14 12:39:04.787549
northcascadesnps	2259211667	2603	35	The (unofficial) Instagram of North Cascades National Park, Washington	2019-06-14 12:39:07.104389
petrifiedforestnps	1990334915	70376	158	Official Instagram account of Petrified Forest National Park.	2019-06-14 12:39:08.210586
pinnaclesnps	2011066695	6788	158	Official Instagram account for Pinnacles National Park. Tag us or share your park memories using #PinnaclesMoments for a chance to be featured.	2019-06-14 12:39:12.775303
redwoodnps	1391125239	166125	92	Official site of Redwood National and State Parks - 133,000 acres of majestic beauty, including the world's tallest trees and 40 miles of coastline.	2019-06-14 12:39:16.052053
shenandoahnps	2033357393	165268	163	Official Instagram account of Shenandoah National Park. #ShenNPS	2019-06-14 12:39:17.178452
theodorerooseveltnps	2246895965	22538	149	The official Instagram account of Theodore Roosevelt National Park. Tag us or use #myTRNP for a chance to be featured!	2019-06-14 12:39:19.577289
virginislandsnps	3277023238	17140	298	www.facebook.com/virginislandsnps	2019-06-14 12:39:20.762685
voyageursnps	2028226261	19111	181	The official Instagram account for Voyageurs National Park. #FindYourPark	2019-06-14 12:39:21.425046
windcavenps	4160478881	31378	253	Official Instagram of Wind Cave National Park. #WindCaveNPS #WindCaveNP #WindCaveNationalPark. Use #ShareWICA to be featured on one of our pages!	2019-06-14 12:39:22.095764
wrangellstenps	2224972819	13261	251	Official Instagram for Wrangell-St. Elias National Park. Volcanoes, glaciers, copper, wilderness, whales, and so much more! Tag with #wrangellstenps	2019-06-14 12:39:23.016245
yellowstonenps	1565107527	848913	186	Take the pledge.👇🏽Tell a friend. Tag #YellowstonePledge.	2019-06-14 12:39:24.244186
yosemitenps	789230703	1482171	66	Yosemite National Park is known for its waterfalls, deep valleys, grand meadows, ancient giant sequoias, wilderness, & more.	2019-06-14 12:39:29.598103
zionnps	366372542	606918	155	The official Instagram account of Zion National Park.	2019-06-14 12:39:32.539907
nationalparkservice	1684126013	1733447	536	The official Instagram for America's Best Idea! Tag: @nationalparkservice	2019-06-14 12:39:33.154578
nationalparksguide	9903633791	12844	85	"🏞🌄🏔
Discovering the beauty of the National Parks - TAG us for a feature!"	2019-06-14 12:39:33.971897
acadianps	1760113310	229580	132	This is the official Instagram account for Acadia National Park in Bar Harbor, Maine.	2019-06-14 13:18:31.680179
archesnps	716395539	195513	107	Official Instagram site for Arches National Park. #ArchesNPS @ArchesNPS	2019-06-14 13:18:37.092796
badlandsnps	1396437996	142022	262	Official Instagram of Badlands National Park. Share photos: #badlandsnps	2019-06-14 13:18:38.214936
bigbendnps	1647920220	148362	164	"Official Instagram of Big Bend National Park and Rio Grande Wild & Scenic River. #BigBendNPS #RioGrandeNPS #HikeBigBend #BigBend
www.nps.gov/rigr &"	2019-06-14 13:18:42.950308
biscaynenps	1974033687	60148	718	The official Instagram account of Biscayne National Park.	2019-06-14 13:18:43.746868
blackcanyonnps	2301465471	23062	145	Black Canyon of the Gunnison is home to some of the steepest cliffs, oldest rock, and craggiest spires in North America. @blackcanyonnps	2019-06-14 13:18:44.980520
brycecanyonnps	1676679171	45988	409	#BryceCanyonNPS #discoverBryce	2019-06-14 13:18:45.480579
canyonlandsnps	2930922474	78280	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-14 13:18:47.220173
capitolreefnps	4813894759	50626	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-14 13:18:50.175509
carlsbadcavernsnps	6267424760	44134	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-14 13:18:55.515940
channelislandsnps	3228076453	24858	128	Official Instagram for Channel Islands National Park.	2019-06-14 13:18:58.704675
congareenps	264028197	11267	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-14 13:19:00.138479
craterlakenps	1991254373	13	0		2019-06-14 13:19:01.264374
cuyahogavalleynps	1989853670	52530	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-14 13:19:04.838531
deathvalleynps	2242696112	198770	133	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-14 13:19:05.244148
denalinps	2129963644	209213	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-14 13:19:05.963982
drytortugasnps	1636957301	51442	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-14 13:19:09.143159
evergladesnps	1130671543	47995	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-14 13:19:11.185589
gatewayarchnps	509351161	2904	505	Official Instagram account for Gateway Arch National Park in St. Louis, Missouri, home of the Gateway Arch and historic Old Courthouse. #gatewayarch	2019-06-14 13:19:13.438989
glaciernps	394363369	698762	241	"Plan your trip responsibly. Check out our webpage for more info!
🏔"	2019-06-14 13:19:15.791808
glacierbaynps	3440243649	40686	138	Welcome to the official Instagram account for Glacier Bay National Park and Preserve. Tag #GlacierBay to share your experiences.	2019-06-14 13:19:17.443850
grandcanyonnps	354926024	547677	48	Official Instagram site for Grand Canyon Nat. Park. Photos posted are US Govt work, unless stated otherwise & photog cited. @GrandCanyonNPS on Twitter	2019-06-14 13:19:19.178926
grandtetonnps	1586622205	404322	125	This is the official Instagram for Grand Teton National Park. Use #mygrandteton for a chance to be featured.	2019-06-14 13:19:24.531914
greatbasinnps	511065143	1487	0		2019-06-14 13:19:27.690817
greatsanddunesnps	3021402145	15809	174	The official Instagram for Great Sand Dunes National Park and Preserve.	2019-06-14 13:19:28.105942
guadalupemountainsnps	1271874892	64824	267	"Official account for Guadalupe Mountains NP, home to the most extensive exposed fossil reef on Earth & the highest peak in Texas.
#guadalupemountains"	2019-06-14 13:19:32.615816
haleakalanps	3501917180	23668	317	The official Instagram for Haleakalā National Park.	2019-06-14 13:19:38.017451
hawaiivolcanoesnps	1692328803	146724	597	Official Instagram site of Hawaiʻi Volcanoes National Park. #HVNPWelcomeBack #HawaiiVolcanoes #NationalPark @Volcanoes_NPS on Twitter	2019-06-14 13:19:38.738937
hotspringsnps	3045142398	2696	221	The official Instagram account of Hot Springs National Park.	2019-06-14 13:19:39.333711
indianadunesnps	2111944124	8059	184	The official Instagram of Indiana Dunes National Park. #IndianaDunesNPS	2019-06-14 13:19:40.167169
isleroyalenps	2304944165	26981	292	Use #isleroyalenps for a chance to be featured! Official Instagram profile of Isle Royale National Park, a remote archipelago in Lake Superior.	2019-06-14 13:19:40.921292
joshuatreenps	1626724300	305148	327	Official Instagram of Joshua Tree National Park. We like photography, the desert and keeping Joshua Tree wild!	2019-06-14 13:19:42.219216
katmainps	2211589873	35830	72	Share your photos of Katmai National Park and Preserve. Tag @katmainps	2019-06-14 13:19:44.366453
kenaifjordsnps	2029803905	44705	274	The official Instagram of Kenai Fjords National Park. Tag #myKenaiFjords to share your experiences.	2019-06-14 13:19:46.070771
kobukvalleynps	5719167751	2152	226	The official account for Kobuk Valley National Park in Alaska. Tag your photos with #KobukValleyNPS for a chance to be featured.	2019-06-14 13:19:46.822472
lakeclarknps	1676030157	60847	256	This is the official account for Lake Clark National Park & Preserve in Alaska.	2019-06-14 13:19:47.446885
lassennps	2882029013	18600	41	"🔵 hundreds of glacially-carved lakes
♨️ bubbling pools of acid
🌋 ALL FOUR types of volcanoes
🌌✨—and a beautiful, glittering dark night sky"	2019-06-14 13:19:48.460243
mesaverdenps	5622637824	9004	138	Mesa Verde NP contains nearly 5,000 archeological sites constructed by the Ancestral Pueblo people over 700 years ago. Share your #MesaVerdeMemories!	2019-06-14 13:19:50.197044
mountrainiernps	2283825324	206424	169	This is the official Mount Rainier National Park Instagram. Tag #mountrainiernps to be featured on our page!	2019-06-14 13:19:52.672332
northcascadesnps	2259211667	2604	35	The (unofficial) Instagram of North Cascades National Park, Washington	2019-06-14 13:19:53.004916
petrifiedforestnps	1990334915	70378	158	Official Instagram account of Petrified Forest National Park.	2019-06-14 13:19:54.502809
pinnaclesnps	2011066695	6788	158	Official Instagram account for Pinnacles National Park. Tag us or share your park memories using #PinnaclesMoments for a chance to be featured.	2019-06-14 13:19:55.015673
redwoodnps	1391125239	166125	92	Official site of Redwood National and State Parks - 133,000 acres of majestic beauty, including the world's tallest trees and 40 miles of coastline.	2019-06-14 13:19:58.294382
shenandoahnps	2033357393	165269	163	Official Instagram account of Shenandoah National Park. #ShenNPS	2019-06-14 13:19:59.516303
theodorerooseveltnps	2246895965	22537	149	The official Instagram account of Theodore Roosevelt National Park. Tag us or use #myTRNP for a chance to be featured!	2019-06-14 13:20:00.336162
virginislandsnps	3277023238	17140	298	www.facebook.com/virginislandsnps	2019-06-14 13:20:01.057818
voyageursnps	2028226261	19113	181	The official Instagram account for Voyageurs National Park. #FindYourPark	2019-06-14 13:20:02.695761
windcavenps	4160478881	31377	253	Official Instagram of Wind Cave National Park. #WindCaveNPS #WindCaveNP #WindCaveNationalPark. Use #ShareWICA to be featured on one of our pages!	2019-06-14 13:20:04.848297
wrangellstenps	2224972819	13261	251	Official Instagram for Wrangell-St. Elias National Park. Volcanoes, glaciers, copper, wilderness, whales, and so much more! Tag with #wrangellstenps	2019-06-14 13:20:06.889243
yellowstonenps	1565107527	848937	186	Take the pledge.👇🏽Tell a friend. Tag #YellowstonePledge.	2019-06-14 13:20:11.190454
yosemitenps	789230703	1482049	66	Yosemite National Park is known for its waterfalls, deep valleys, grand meadows, ancient giant sequoias, wilderness, & more.	2019-06-14 13:20:16.207812
zionnps	366372542	606928	155	The official Instagram account of Zion National Park.	2019-06-14 13:20:17.545960
nationalparkservice	1684126013	1733494	536	The official Instagram for America's Best Idea! Tag: @nationalparkservice	2019-06-14 13:20:18.057192
nationalparksguide	9903633791	12844	85	"🏞🌄🏔
Discovering the beauty of the National Parks - TAG us for a feature!"	2019-06-14 13:20:19.899043
acadianps	1760113310	229613	132	This is the official Instagram account for Acadia National Park in Bar Harbor, Maine.	2019-06-14 16:52:43.086626
archesnps	716395539	195537	107	Official Instagram site for Arches National Park. #ArchesNPS @ArchesNPS	2019-06-14 16:52:44.205602
badlandsnps	1396437996	142027	262	Official Instagram of Badlands National Park. Share photos: #badlandsnps	2019-06-14 16:52:44.604005
bigbendnps	1647920220	148370	164	"Official Instagram of Big Bend National Park and Rio Grande Wild & Scenic River. #BigBendNPS #RioGrandeNPS #HikeBigBend #BigBend
www.nps.gov/rigr &"	2019-06-14 16:52:47.673876
biscaynenps	1974033687	60156	718	The official Instagram account of Biscayne National Park.	2019-06-14 16:52:48.133817
blackcanyonnps	2301465471	23076	145	Black Canyon of the Gunnison is home to some of the steepest cliffs, oldest rock, and craggiest spires in North America. @blackcanyonnps	2019-06-14 16:52:50.944223
brycecanyonnps	1676679171	45986	409	#BryceCanyonNPS #discoverBryce	2019-06-14 16:52:52.920919
canyonlandsnps	2930922474	78287	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-14 16:52:58.013068
capitolreefnps	4813894759	50630	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-14 16:53:00.677220
carlsbadcavernsnps	6267424760	44163	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-14 16:53:01.691678
channelislandsnps	3228076453	24862	128	Official Instagram for Channel Islands National Park.	2019-06-14 16:53:03.177034
congareenps	264028197	11268	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-14 16:53:03.741611
craterlakenps	1991254373	13	0		2019-06-14 16:53:04.262174
cuyahogavalleynps	1989853670	52544	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-14 16:53:05.196575
deathvalleynps	2242696112	198781	134	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-14 16:53:05.805931
denalinps	2129963644	209230	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-14 16:53:07.728961
drytortugasnps	1636957301	51440	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-14 16:53:11.112809
evergladesnps	1130671543	48012	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-14 16:53:11.751715
gatewayarchnps	509351161	2907	505	Official Instagram account for Gateway Arch National Park in St. Louis, Missouri, home of the Gateway Arch and historic Old Courthouse. #gatewayarch	2019-06-14 16:53:13.895219
glaciernps	394363369	698819	241	"Plan your trip responsibly. Check out our webpage for more info!
🏔"	2019-06-14 16:53:14.646284
glacierbaynps	3440243649	40710	138	Welcome to the official Instagram account for Glacier Bay National Park and Preserve. Tag #GlacierBay to share your experiences.	2019-06-14 16:53:16.031158
grandcanyonnps	354926024	547701	48	Official Instagram site for Grand Canyon Nat. Park. Photos posted are US Govt work, unless stated otherwise & photog cited. @GrandCanyonNPS on Twitter	2019-06-14 16:53:16.838402
grandtetonnps	1586622205	404366	125	This is the official Instagram for Grand Teton National Park. Use #mygrandteton for a chance to be featured.	2019-06-14 16:53:17.477517
greatbasinnps	511065143	1487	0		2019-06-14 16:53:17.717516
greatsanddunesnps	3021402145	15813	174	The official Instagram for Great Sand Dunes National Park and Preserve.	2019-06-14 16:53:18.774548
guadalupemountainsnps	1271874892	64826	267	"Official account for Guadalupe Mountains NP, home to the most extensive exposed fossil reef on Earth & the highest peak in Texas.
#guadalupemountains"	2019-06-14 16:53:21.758808
haleakalanps	3501917180	23674	317	The official Instagram for Haleakalā National Park.	2019-06-14 16:53:22.485019
hawaiivolcanoesnps	1692328803	146757	597	Official Instagram site of Hawaiʻi Volcanoes National Park. #HVNPWelcomeBack #HawaiiVolcanoes #NationalPark @Volcanoes_NPS on Twitter	2019-06-14 16:53:23.511231
hotspringsnps	3045142398	2696	221	The official Instagram account of Hot Springs National Park.	2019-06-14 16:53:24.022955
indianadunesnps	2111944124	8063	184	The official Instagram of Indiana Dunes National Park. #IndianaDunesNPS	2019-06-14 16:53:27.129139
isleroyalenps	2304944165	26984	292	Use #isleroyalenps for a chance to be featured! Official Instagram profile of Isle Royale National Park, a remote archipelago in Lake Superior.	2019-06-14 16:53:28.414087
joshuatreenps	1626724300	305180	327	Official Instagram of Joshua Tree National Park. We like photography, the desert and keeping Joshua Tree wild!	2019-06-14 16:53:28.967332
katmainps	2211589873	35824	72	Share your photos of Katmai National Park and Preserve. Tag @katmainps	2019-06-14 16:53:33.025729
kenaifjordsnps	2029803905	44712	274	The official Instagram of Kenai Fjords National Park. Tag #myKenaiFjords to share your experiences.	2019-06-14 16:53:34.128597
kobukvalleynps	5719167751	2152	226	The official account for Kobuk Valley National Park in Alaska. Tag your photos with #KobukValleyNPS for a chance to be featured.	2019-06-14 16:53:36.312737
lakeclarknps	1676030157	60857	256	This is the official account for Lake Clark National Park & Preserve in Alaska.	2019-06-14 16:53:37.835255
lassennps	2882029013	18604	41	"🔵 hundreds of glacially-carved lakes
♨️ bubbling pools of acid
🌋 ALL FOUR types of volcanoes
🌌✨—and a beautiful, glittering dark night sky"	2019-06-14 16:53:38.360000
mesaverdenps	5622637824	9005	138	Mesa Verde NP contains nearly 5,000 archeological sites constructed by the Ancestral Pueblo people over 700 years ago. Share your #MesaVerdeMemories!	2019-06-14 16:53:39.991989
mountrainiernps	2283825324	206443	169	This is the official Mount Rainier National Park Instagram. Tag #mountrainiernps to be featured on our page!	2019-06-14 16:53:41.592653
northcascadesnps	2259211667	2604	35	The (unofficial) Instagram of North Cascades National Park, Washington	2019-06-14 16:53:42.345060
petrifiedforestnps	1990334915	70386	158	Official Instagram account of Petrified Forest National Park.	2019-06-14 16:53:47.460312
pinnaclesnps	2011066695	6788	158	Official Instagram account for Pinnacles National Park. Tag us or share your park memories using #PinnaclesMoments for a chance to be featured.	2019-06-14 16:53:49.206785
redwoodnps	1391125239	166129	92	Official site of Redwood National and State Parks - 133,000 acres of majestic beauty, including the world's tallest trees and 40 miles of coastline.	2019-06-14 16:53:50.343515
shenandoahnps	2033357393	165294	163	Official Instagram account of Shenandoah National Park. #ShenNPS	2019-06-14 16:53:51.451056
theodorerooseveltnps	2246895965	22537	149	The official Instagram account of Theodore Roosevelt National Park. Tag us or use #myTRNP for a chance to be featured!	2019-06-14 16:53:52.594654
virginislandsnps	3277023238	17142	298	www.facebook.com/virginislandsnps	2019-06-14 16:53:53.410475
voyageursnps	2028226261	19119	181	The official Instagram account for Voyageurs National Park. #FindYourPark	2019-06-14 16:53:56.993575
windcavenps	4160478881	31378	253	Official Instagram of Wind Cave National Park. #WindCaveNPS #WindCaveNP #WindCaveNationalPark. Use #ShareWICA to be featured on one of our pages!	2019-06-14 16:53:58.064002
wrangellstenps	2224972819	13264	251	Official Instagram for Wrangell-St. Elias National Park. Volcanoes, glaciers, copper, wilderness, whales, and so much more! Tag with #wrangellstenps	2019-06-14 16:54:00.686020
yellowstonenps	1565107527	849046	186	Take the pledge.👇🏽Tell a friend. Tag #YellowstonePledge.	2019-06-14 16:54:01.491428
yosemitenps	789230703	1482209	66	Yosemite National Park is known for its waterfalls, deep valleys, grand meadows, ancient giant sequoias, wilderness, & more.	2019-06-14 16:54:02.338083
zionnps	366372542	607008	155	The official Instagram account of Zion National Park.	2019-06-14 16:54:05.692473
nationalparkservice	1684126013	1733858	536	The official Instagram for America's Best Idea! Tag: @nationalparkservice	2019-06-14 16:54:06.405137
nationalparksguide	9903633791	12844	85	"🏞🌄🏔
Discovering the beauty of the National Parks - TAG us for a feature!"	2019-06-14 16:54:09.023766
acadianps	1760113310	229703	132	This is the official Instagram account for Acadia National Park in Bar Harbor, Maine.	2019-06-15 01:44:34.671473
archesnps	716395539	195609	107	Official Instagram site for Arches National Park. #ArchesNPS @ArchesNPS	2019-06-15 01:44:35.891157
badlandsnps	1396437996	142053	262	Official Instagram of Badlands National Park. Share photos: #badlandsnps	2019-06-15 01:44:36.502229
bigbendnps	1647920220	148402	164	"Official Instagram of Big Bend National Park and Rio Grande Wild & Scenic River. #BigBendNPS #RioGrandeNPS #HikeBigBend #BigBend
www.nps.gov/rigr &"	2019-06-15 01:44:37.219212
biscaynenps	1974033687	60173	718	The official Instagram account of Biscayne National Park.	2019-06-15 01:44:38.245143
blackcanyonnps	2301465471	23093	145	Black Canyon of the Gunnison is home to some of the steepest cliffs, oldest rock, and craggiest spires in North America. @blackcanyonnps	2019-06-15 01:44:38.960529
brycecanyonnps	1676679171	45987	409	#BryceCanyonNPS #discoverBryce	2019-06-15 01:44:39.472148
canyonlandsnps	2930922474	78306	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-15 01:44:41.010018
capitolreefnps	4813894759	50645	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-15 01:44:41.830585
carlsbadcavernsnps	6267424760	44236	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-15 01:44:43.773343
channelislandsnps	3228076453	24863	128	Official Instagram for Channel Islands National Park.	2019-06-15 01:44:46.333564
congareenps	264028197	11271	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-15 01:44:49.406370
craterlakenps	1991254373	13	0		2019-06-15 01:44:50.804527
cuyahogavalleynps	1989853670	52566	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-15 01:44:51.354345
deathvalleynps	2242696112	198834	134	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-15 01:44:53.501784
denalinps	2129963644	209290	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-15 01:44:55.550167
drytortugasnps	1636957301	51448	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-15 01:44:56.675604
evergladesnps	1130671543	48033	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-15 01:44:59.751676
gatewayarchnps	509351161	2915	505	Official Instagram account for Gateway Arch National Park in St. Louis, Missouri, home of the Gateway Arch and historic Old Courthouse. #gatewayarch	2019-06-15 01:45:00.672432
glaciernps	394363369	698938	241	"Plan your trip responsibly. Check out our webpage for more info!
🏔"	2019-06-15 01:45:03.537060
glacierbaynps	3440243649	40763	138	Welcome to the official Instagram account for Glacier Bay National Park and Preserve. Tag #GlacierBay to share your experiences.	2019-06-15 01:45:04.150734
grandcanyonnps	354926024	547777	48	Official Instagram site for Grand Canyon Nat. Park. Photos posted are US Govt work, unless stated otherwise & photog cited. @GrandCanyonNPS on Twitter	2019-06-15 01:45:06.301567
grandtetonnps	1586622205	404483	125	This is the official Instagram for Grand Teton National Park. Use #mygrandteton for a chance to be featured.	2019-06-15 01:45:08.834298
greatbasinnps	511065143	1487	0		2019-06-15 01:45:11.605788
greatsanddunesnps	3021402145	15829	174	The official Instagram for Great Sand Dunes National Park and Preserve.	2019-06-15 01:45:12.036295
guadalupemountainsnps	1271874892	64830	267	"Official account for Guadalupe Mountains NP, home to the most extensive exposed fossil reef on Earth & the highest peak in Texas.
#guadalupemountains"	2019-06-15 01:45:14.084419
haleakalanps	3501917180	23686	317	The official Instagram for Haleakalā National Park.	2019-06-15 01:45:15.826449
hawaiivolcanoesnps	1692328803	146840	597	Official Instagram site of Hawaiʻi Volcanoes National Park. #HVNPWelcomeBack #HawaiiVolcanoes #NationalPark @Volcanoes_NPS on Twitter	2019-06-15 01:45:16.747140
hotspringsnps	3045142398	2696	221	The official Instagram account of Hot Springs National Park.	2019-06-15 01:45:17.759096
indianadunesnps	2111944124	8062	184	The official Instagram of Indiana Dunes National Park. #IndianaDunesNPS	2019-06-15 01:45:18.691743
isleroyalenps	2304944165	26991	292	Use #isleroyalenps for a chance to be featured! Official Instagram profile of Isle Royale National Park, a remote archipelago in Lake Superior.	2019-06-15 01:45:20.330310
joshuatreenps	1626724300	305273	327	Official Instagram of Joshua Tree National Park. We like photography, the desert and keeping Joshua Tree wild!	2019-06-15 01:45:21.764326
katmainps	2211589873	35823	72	Share your photos of Katmai National Park and Preserve. Tag @katmainps	2019-06-15 01:45:25.529995
kenaifjordsnps	2029803905	44718	274	The official Instagram of Kenai Fjords National Park. Tag #myKenaiFjords to share your experiences.	2019-06-15 01:45:28.982030
kobukvalleynps	5719167751	2153	226	The official account for Kobuk Valley National Park in Alaska. Tag your photos with #KobukValleyNPS for a chance to be featured.	2019-06-15 01:45:34.274264
lakeclarknps	1676030157	60871	256	This is the official account for Lake Clark National Park & Preserve in Alaska.	2019-06-15 01:45:37.993635
