name	userid	followers	followees	bio	time
shenandoahnps	2033357393	164975	163	Official Instagram account of Shenandoah National Park. #ShenNPS	2019-06-12 15:06:46.795920
theodorerooseveltnps	2246895965	22526	149	The official Instagram account of Theodore Roosevelt National Park. Tag us or use #myTRNP for a chance to be featured!	2019-06-12 15:06:47.714229
virginislandsnps	3277023238	17150	298	www.facebook.com/virginislandsnps	2019-06-12 15:06:50.373939
voyageursnps	2028226261	19028	181	The official Instagram account for Voyageurs National Park. #FindYourPark	2019-06-12 15:06:51.192304
windcavenps	4160478881	31383	254	Official Instagram of Wind Cave National Park. #WindCaveNPS #WindCaveNP #WindCaveNationalPark. Use #ShareWICA to be featured on one of our pages!	2019-06-12 15:06:53.876979
wrangellstenps	2224972819	13202	251	Official Instagram for Wrangell-St. Elias National Park. Volcanoes, glaciers, copper, wilderness, whales, and so much more! Tag with #wrangellstenps	2019-06-12 15:06:55.087961
yellowstonenps	1565107527	847381	186	Take the pledge.👇🏽Tell a friend. Tag #YellowstonePledge.	2019-06-12 15:06:55.631779
yosemitenps	789230703	1480708	67	Yosemite National Park is known for its waterfalls, deep valleys, grand meadows, ancient giant sequoias, wilderness, & more.	2019-06-12 15:06:57.339098
zionnps	366372542	606101	155	The official Instagram account of Zion National Park.	2019-06-12 15:06:59.933796
acadianps	1760113310	229240	132	This is the official Instagram account for Acadia National Park in Bar Harbor, Maine.	2019-06-12 15:07:53.781929
archesnps	716395539	195215	107	Official Instagram site for Arches National Park. #ArchesNPS @ArchesNPS	2019-06-12 15:07:59.193451
badlandsnps	1396437996	141885	262	Official Instagram of Badlands National Park. Share photos: #badlandsnps	2019-06-12 15:08:00.740381
bigbendnps	1647920220	148049	164	"Official Instagram of Big Bend National Park and Rio Grande Wild & Scenic River. #BigBendNPS #RioGrandeNPS #HikeBigBend #BigBend
www.nps.gov/rigr &"	2019-06-12 15:08:03.510473
biscaynenps	1974033687	60077	718	The official Instagram account of Biscayne National Park.	2019-06-12 15:08:06.456064
blackcanyonnps	2301465471	22949	145	Black Canyon of the Gunnison is home to some of the steepest cliffs, oldest rock, and craggiest spires in North America. @blackcanyonnps	2019-06-12 15:08:08.502582
brycecanyonnps	1676679171	45978	409	#BryceCanyonNPS #discoverBryce	2019-06-12 15:08:10.564808
canyonlandsnps	2930922474	78147	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-12 15:08:11.081010
capitolreefnps	4813894759	50534	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-12 15:08:16.437043
carlsbadcavernsnps	6267424760	43809	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-12 15:08:17.816883
channelislandsnps	3228076453	24808	128	Official Instagram for Channel Islands National Park.	2019-06-12 15:08:18.241876
congareenps	264028197	11261	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-12 15:08:18.765751
craterlakenps	1991254373	13	0		2019-06-12 15:08:20.158339
cuyahogavalleynps	1989853670	52458	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-12 15:08:21.376365
deathvalleynps	2242696112	198553	133	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-12 15:08:21.845225
denalinps	2129963644	208969	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-12 15:08:22.710564
drytortugasnps	1636957301	51413	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-12 15:08:24.037607
evergladesnps	1130671543	47915	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-12 15:08:25.805419
gatewayarchnps	509351161	2896	505	Official Instagram account for Gateway Arch National Park in St. Louis, Missouri, home of the Gateway Arch and historic Old Courthouse. #gatewayarch	2019-06-12 15:08:26.323687
glaciernps	394363369	698276	241	"Plan your trip responsibly. Check out our webpage for more info!
🏔"	2019-06-12 15:08:27.109958
glacierbaynps	3440243649	40451	138	Welcome to the official Instagram account for Glacier Bay National Park and Preserve. Tag #GlacierBay to share your experiences.	2019-06-12 15:08:27.913923
grandcanyonnps	354926024	547347	48	Official Instagram site for Grand Canyon Nat. Park. Photos posted are US Govt work, unless stated otherwise & photog cited. @GrandCanyonNPS on Twitter	2019-06-12 15:08:31.440238
grandtetonnps	1586622205	403766	125	This is the official Instagram for Grand Teton National Park. Use #mygrandteton for a chance to be featured.	2019-06-12 15:08:31.926803
greatbasinnps	511065143	1482	0		2019-06-12 15:08:32.387940
greatsanddunesnps	3021402145	15775	174	The official Instagram for Great Sand Dunes National Park and Preserve.	2019-06-12 15:08:33.995789
guadalupemountainsnps	1271874892	64790	267	"Official account for Guadalupe Mountains NP, home to the most extensive exposed fossil reef on Earth & the highest peak in Texas.
#guadalupemountains"	2019-06-12 15:08:37.164339
haleakalanps	3501917180	23563	317	The official Instagram for Haleakalā National Park.	2019-06-12 15:08:39.523431
hawaiivolcanoesnps	1692328803	146435	597	Official Instagram site of Hawaiʻi Volcanoes National Park. #HVNPWelcomeBack #HawaiiVolcanoes #NationalPark @Volcanoes_NPS on Twitter	2019-06-12 15:08:41.255188
hotspringsnps	3045142398	2685	221	The official Instagram account of Hot Springs National Park.	2019-06-12 15:08:42.102848
indianadunesnps	2111944124	8015	184	The official Instagram of Indiana Dunes National Park. #IndianaDunesNPS	2019-06-12 15:08:44.352356
isleroyalenps	2304944165	26931	292	Use #isleroyalenps for a chance to be featured! Official Instagram profile of Isle Royale National Park, a remote archipelago in Lake Superior.	2019-06-12 15:08:46.675892
joshuatreenps	1626724300	304827	327	Official Instagram of Joshua Tree National Park. We like photography, the desert and keeping Joshua Tree wild!	2019-06-12 15:08:48.336994
katmainps	2211589873	35836	72	Share your photos of Katmai National Park and Preserve. Tag @katmainps	2019-06-12 15:08:51.203573
kenaifjordsnps	2029803905	44681	274	The official Instagram of Kenai Fjords National Park. Tag #myKenaiFjords to share your experiences.	2019-06-12 15:08:52.437872
kobukvalleynps	5719167751	2152	226	The official account for Kobuk Valley National Park in Alaska. Tag your photos with #KobukValleyNPS for a chance to be featured.	2019-06-12 15:08:54.626866
lakeclarknps	1676030157	60788	256	This is the official account for Lake Clark National Park & Preserve in Alaska.	2019-06-12 15:08:57.859448
lassennps	2882029013	18544	41	"🔵 hundreds of glacially-carved lakes
♨️ bubbling pools of acid
🌋 ALL FOUR types of volcanoes
🌌✨—and a beautiful, glittering dark night sky"	2019-06-12 15:08:58.584673
mesaverdenps	5622637824	8984	138	Mesa Verde NP contains nearly 5,000 archeological sites constructed by the Ancestral Pueblo people over 700 years ago. Share your #MesaVerdeMemories!	2019-06-12 15:08:59.613332
mountrainiernps	2283825324	206096	169	This is the official Mount Rainier National Park Instagram. Tag #mountrainiernps to be featured on our page!	2019-06-12 15:09:02.065601
northcascadesnps	2259211667	2601	35	The (unofficial) Instagram of North Cascades National Park, Washington	2019-06-12 15:09:02.756075
petrifiedforestnps	1990334915	70253	158	Official Instagram account of Petrified Forest National Park.	2019-06-12 15:09:04.043306
pinnaclesnps	2011066695	6779	158	Official Instagram account for Pinnacles National Park. Tag us or share your park memories using #PinnaclesMoments for a chance to be featured.	2019-06-12 15:09:04.666851
redwoodnps	1391125239	166031	92	Official site of Redwood National and State Parks - 133,000 acres of majestic beauty, including the world's tallest trees and 40 miles of coastline.	2019-06-12 15:09:06.332902
shenandoahnps	2033357393	164975	163	Official Instagram account of Shenandoah National Park. #ShenNPS	2019-06-12 15:09:07.453992
theodorerooseveltnps	2246895965	22526	149	The official Instagram account of Theodore Roosevelt National Park. Tag us or use #myTRNP for a chance to be featured!	2019-06-12 15:09:09.942783
virginislandsnps	3277023238	17150	298	www.facebook.com/virginislandsnps	2019-06-12 15:09:10.372554
voyageursnps	2028226261	19028	181	The official Instagram account for Voyageurs National Park. #FindYourPark	2019-06-12 15:09:10.761197
windcavenps	4160478881	31383	254	Official Instagram of Wind Cave National Park. #WindCaveNPS #WindCaveNP #WindCaveNationalPark. Use #ShareWICA to be featured on one of our pages!	2019-06-12 15:09:13.339728
wrangellstenps	2224972819	13202	251	Official Instagram for Wrangell-St. Elias National Park. Volcanoes, glaciers, copper, wilderness, whales, and so much more! Tag with #wrangellstenps	2019-06-12 15:09:15.782130
yellowstonenps	1565107527	847381	186	Take the pledge.👇🏽Tell a friend. Tag #YellowstonePledge.	2019-06-12 15:09:17.827807
yosemitenps	789230703	1480708	67	Yosemite National Park is known for its waterfalls, deep valleys, grand meadows, ancient giant sequoias, wilderness, & more.	2019-06-12 15:09:18.544042
zionnps	366372542	606101	155	The official Instagram account of Zion National Park.	2019-06-12 15:09:19.489755
acadianps	1760113310	229240	132	This is the official Instagram account for Acadia National Park in Bar Harbor, Maine.	2019-06-12 15:15:28.986942
archesnps	716395539	195216	107	Official Instagram site for Arches National Park. #ArchesNPS @ArchesNPS	2019-06-12 15:15:29.544584
badlandsnps	1396437996	141886	262	Official Instagram of Badlands National Park. Share photos: #badlandsnps	2019-06-12 15:15:30.264282
bigbendnps	1647920220	148051	164	"Official Instagram of Big Bend National Park and Rio Grande Wild & Scenic River. #BigBendNPS #RioGrandeNPS #HikeBigBend #BigBend
www.nps.gov/rigr &"	2019-06-12 15:15:31.899908
biscaynenps	1974033687	60078	718	The official Instagram account of Biscayne National Park.	2019-06-12 15:15:34.279372
blackcanyonnps	2301465471	22950	145	Black Canyon of the Gunnison is home to some of the steepest cliffs, oldest rock, and craggiest spires in North America. @blackcanyonnps	2019-06-12 15:15:36.403457
brycecanyonnps	1676679171	45978	409	#BryceCanyonNPS #discoverBryce	2019-06-12 15:15:36.788233
canyonlandsnps	2930922474	78148	95	The official Instagram of Canyonlands National Park. #CanyonlandsNPS @CanyonlandsNPS	2019-06-12 15:15:37.339078
capitolreefnps	4813894759	50534	60	The official feed for Capitol Reef National Park. Tag your photos #capitolreefnps if you'd like to be featured in our feed.	2019-06-12 15:15:38.347279
carlsbadcavernsnps	6267424760	43811	210	Official Instagram account of Carlsbad Caverns National Park. Tag us #CarlsbadCaverns #FindYourPark #EncuentraTuParque 🦇	2019-06-12 15:15:39.559550
channelislandsnps	3228076453	24808	128	Official Instagram for Channel Islands National Park.	2019-06-12 15:15:41.531824
congareenps	264028197	11261	373	The official Instagram of Congaree National Park. Check out www.findyourpark.com to see how you can Find Your Park!	2019-06-12 15:15:42.755333
craterlakenps	1991254373	13	0		2019-06-12 15:15:43.781962
cuyahogavalleynps	1989853670	52458	336	The official Instagram of Cuyahoga Valley National Park.	2019-06-12 15:15:45.831706
deathvalleynps	2242696112	198555	133	Death Valley: the lowest & driest place in North America, hottest place on Earth & more! Tag @deathvalleynps & share #DeathValleyLove to be featured!	2019-06-12 15:15:46.802843
denalinps	2129963644	208971	158	DenaliNPS is an official site established by the National Park Service in Aug 2015 to represent Denali National Park and Preserve in Alaska.	2019-06-12 15:15:47.274625
drytortugasnps	1636957301	51414	97	The official Dry Tortugas National Park Instagram account. 🐟🌴☀️ Tag your photos #DryTortugas	2019-06-12 15:15:47.870953
evergladesnps	1130671543	47916	388	America's Everglades – The largest subtropical wilderness in the United States! Tag your photos #EvergladesNationalPark	2019-06-12 15:15:52.689865
gatewayarchnps	509351161	2896	505	Official Instagram account for Gateway Arch National Park in St. Louis, Missouri, home of the Gateway Arch and historic Old Courthouse. #gatewayarch	2019-06-12 15:15:53.098727
glaciernps	394363369	698276	241	"Plan your trip responsibly. Check out our webpage for more info!
🏔"	2019-06-12 15:15:53.929028
glacierbaynps	3440243649	40452	138	Welcome to the official Instagram account for Glacier Bay National Park and Preserve. Tag #GlacierBay to share your experiences.	2019-06-12 15:15:55.162348
grandcanyonnps	354926024	547347	48	Official Instagram site for Grand Canyon Nat. Park. Photos posted are US Govt work, unless stated otherwise & photog cited. @GrandCanyonNPS on Twitter	2019-06-12 15:15:55.556995
grandtetonnps	1586622205	403767	125	This is the official Instagram for Grand Teton National Park. Use #mygrandteton for a chance to be featured.	2019-06-12 15:15:56.765497
greatbasinnps	511065143	1482	0		2019-06-12 15:15:57.317272
greatsanddunesnps	3021402145	15774	174	The official Instagram for Great Sand Dunes National Park and Preserve.	2019-06-12 15:15:57.915579
guadalupemountainsnps	1271874892	64790	267	"Official account for Guadalupe Mountains NP, home to the most extensive exposed fossil reef on Earth & the highest peak in Texas.
#guadalupemountains"	2019-06-12 15:15:59.546235
haleakalanps	3501917180	23563	317	The official Instagram for Haleakalā National Park.	2019-06-12 15:16:01.922777
hawaiivolcanoesnps	1692328803	146438	597	Official Instagram site of Hawaiʻi Volcanoes National Park. #HVNPWelcomeBack #HawaiiVolcanoes #NationalPark @Volcanoes_NPS on Twitter	2019-06-12 15:16:02.823593
hotspringsnps	3045142398	2685	221	The official Instagram account of Hot Springs National Park.	2019-06-12 15:16:03.964575
indianadunesnps	2111944124	8015	184	The official Instagram of Indiana Dunes National Park. #IndianaDunesNPS	2019-06-12 15:16:08.664476
isleroyalenps	2304944165	26931	292	Use #isleroyalenps for a chance to be featured! Official Instagram profile of Isle Royale National Park, a remote archipelago in Lake Superior.	2019-06-12 15:16:09.477385
joshuatreenps	1626724300	304829	327	Official Instagram of Joshua Tree National Park. We like photography, the desert and keeping Joshua Tree wild!	2019-06-12 15:16:14.822400
katmainps	2211589873	35836	72	Share your photos of Katmai National Park and Preserve. Tag @katmainps	2019-06-12 15:16:15.946848
kenaifjordsnps	2029803905	44681	274	The official Instagram of Kenai Fjords National Park. Tag #myKenaiFjords to share your experiences.	2019-06-12 15:16:17.477090
kobukvalleynps	5719167751	2152	226	The official account for Kobuk Valley National Park in Alaska. Tag your photos with #KobukValleyNPS for a chance to be featured.	2019-06-12 15:16:20.025838
lakeclarknps	1676030157	60788	256	This is the official account for Lake Clark National Park & Preserve in Alaska.	2019-06-12 15:16:21.474488
lassennps	2882029013	18544	41	"🔵 hundreds of glacially-carved lakes
♨️ bubbling pools of acid
🌋 ALL FOUR types of volcanoes
🌌✨—and a beautiful, glittering dark night sky"	2019-06-12 15:16:22.396876
mesaverdenps	5622637824	8984	138	Mesa Verde NP contains nearly 5,000 archeological sites constructed by the Ancestral Pueblo people over 700 years ago. Share your #MesaVerdeMemories!	2019-06-12 15:16:22.994417
mountrainiernps	2283825324	206100	169	This is the official Mount Rainier National Park Instagram. Tag #mountrainiernps to be featured on our page!	2019-06-12 15:16:23.408291
northcascadesnps	2259211667	2601	35	The (unofficial) Instagram of North Cascades National Park, Washington	2019-06-12 15:16:26.922543
petrifiedforestnps	1990334915	70255	158	Official Instagram account of Petrified Forest National Park.	2019-06-12 15:16:27.405184
pinnaclesnps	2011066695	6779	158	Official Instagram account for Pinnacles National Park. Tag us or share your park memories using #PinnaclesMoments for a chance to be featured.	2019-06-12 15:16:29.347808
redwoodnps	1391125239	166031	92	Official site of Redwood National and State Parks - 133,000 acres of majestic beauty, including the world's tallest trees and 40 miles of coastline.	2019-06-12 15:16:32.226709
shenandoahnps	2033357393	164978	163	Official Instagram account of Shenandoah National Park. #ShenNPS	2019-06-12 15:16:33.250191
theodorerooseveltnps	2246895965	22526	149	The official Instagram account of Theodore Roosevelt National Park. Tag us or use #myTRNP for a chance to be featured!	2019-06-12 15:16:36.120340
virginislandsnps	3277023238	17150	298	www.facebook.com/virginislandsnps	2019-06-12 15:16:39.691730
voyageursnps	2028226261	19028	181	The official Instagram account for Voyageurs National Park. #FindYourPark	2019-06-12 15:16:42.356390
windcavenps	4160478881	31383	254	Official Instagram of Wind Cave National Park. #WindCaveNPS #WindCaveNP #WindCaveNationalPark. Use #ShareWICA to be featured on one of our pages!	2019-06-12 15:16:47.783900
